channels_review
channel_id,channel_title,subscriber_count,channel_video_count,custom_url,videos_in_your_dataset,is_official_channel
UC2BKodozho6piEdcSrb78jQ,KBC India,3580000,10498,@kbcindia,1,TRUE
UCE6iU76auE4WSjwnqhBgfWg,DAVE CHAPPELLE STAND UP,131,68,@davechappellestandup2026-k6d,1,FALSE
UC33td0PaDe9x1_cREnxBIVg,Viento Nómada,7140,53,@vientonomada05,1,FALSE
UCDUgBJnjkswDhJfAsS4GjJg,Kaviraj Singh,326000,63,@kavirajsingh,2,TRUE
UCF3HC9AaHNwqpBOiFS-bpow,Aaditya Kulshreshth aka Kullu,283000,39,@kullubaazi,1,TRUE
UC6tOQYDVy8heJYcEb0VthYA,Best of Dave Chappelle,63,25,@bestofdavechappelle,1,FALSE
UCAaMAFV6idKGf51izzYY-mw,Crowd Crushers TV,8790,196,@crowdcrushers,1,FALSE
UC2mKA8JTOCeodl9bEK7w42Q,Matt Rife,4320000,495,@mattrifecomedy,2,TRUE
UC4aTcVTewbHtLeV8eK3enwA,Munawar Faruqui,5420000,80,@munawar0018,5,TRUE
UC9PUUBacQBF8I5iT8R8kwaQ,Its,1,3,@comedy_culture22,1,FALSE
UCBIT1FSJW6yTlzqK-31FDWg,LIV Comedy,19100000,24467,@livcomedy,2,TRUE
UC-r4Tg3nBRALtxJn12fFP_Q,Phil Hanley,720000,943,@philhanley,1,TRUE
UCDKKgIxi5uI2QuLoHfN94Sg,Pranit More Crowdwork Clips,259000,210,@pranitmorecrowdworkclips,2,TRUE
UCDE7MoDdJwleaIAd3qFJF1A,Varun Grover,1320000,36,@varungrovercomedy,2,TRUE
UCC_5rcKYN-D47MDkpinscjw,Magic Flicks,771000,4302,@magicflicks,2,FALSE
UC5wykvQBRm7DC0dtSe3KCSw,Haku Gore,740,73,@hakugore7181,1,FALSE
UC8Lt51rjGS_RbGQsta-xiEQ,Nishant Suri,395000,67,@nishantsuri11,1,TRUE
UC595IzZebQNC-N_MbGt49zg,TOP 10.00,1000,29,@toptentopvideos,1,FALSE
UCCAvaCp3gCQauGLSqDWwdpQ,True Reactors,9010,149,@truereactors,1,FALSE
UC3wRFLjQADV5JBYKjWJWnZw,MintyJam,91,70,@mintyjams,1,FALSE
UC-6wOppRqVOWhOqPeNUm7-A,cleantones,42800,654,@cleantones,1,FALSE
UC5CzL1x6Jb9widCZ4KmIOLw,Vikas Kush Sharma,539000,502,@vikaskushsharma,2,TRUE
