video_id,comedian_name,title,content_type,view_count,like_count,duration_seconds,published_at,thumbnail_url,is_duplicate
txN_qF7Sk6k,Matt Rife,Unfiltered Matt Rife Comedy | Matt Rife Viral Crowd Work Moments,compilation,3342308,34582,2827,2025-09-04T18:01:00Z,https://i.ytimg.com/vi/txN_qF7Sk6k/hqdefault.jpg,false
2m2520TuUdk,Matt Rife,Matt Rife | Only Fans (Full Comedy Special),full_special,18636214,312179,3820,2023-01-20T23:00:11Z,https://i.ytimg.com/vi/2m2520TuUdk/hqdefault.jpg,false
v69-181zzk8,800 Pound Gorilla Media,Mark Normand | Out To Lunch (Full Comedy Special),full_special,4621998,74019,3169,2024-05-13T00:00:07Z,https://i.ytimg.com/vi/v69-181zzk8/hqdefault.jpg,false
zG10W6HYKTk,800 Pound Gorilla Media,Kelsey Cook | The Hustler (Full Comedy Special),full_special,4424581,78576,3786,2023-03-10T01:00:11Z,https://i.ytimg.com/vi/zG10W6HYKTk/hqdefault.jpg,false
pZfLN4Wa7CI,800 Pound Gorilla Media,500 Minutes of Comedy To Binge | Stand-Up Compilation,compilation,461063,3682,31495,2025-03-09T17:00:07Z,https://i.ytimg.com/vi/pZfLN4Wa7CI/hqdefault.jpg,false
7z3LrBWctlI,Gianmarco Soresi,Best of Gianmarco Soresi 2025 Crowd Work | Stand-Up Comedy Compilation,compilation,256765,8269,3171,2025-12-28T19:00:06Z,https://i.ytimg.com/vi/7z3LrBWctlI/hqdefault.jpg,false
OLGrx-m-0iA,800 Pound Gorilla SFW Comedy,2 Hours of All Killer Comedy | Stand-Up Comedy Compilation,compilation,1018433,6584,8666,2025-10-12T17:00:36Z,https://i.ytimg.com/vi/OLGrx-m-0iA/hqdefault.jpg,false
KOXe0TU3Sjo,Anubhav Singh Bassi,Anubhav Singh Bassi New Stand Up Comedy|| ANUBHAV Singh new video || Sarala Aunty,full_special,263219,1954,1287,2021-09-13T02:58:14Z,https://i.ytimg.com/vi/KOXe0TU3Sjo/hqdefault.jpg,false
z6gc3_jAk64,Zakir Khan,Stand Up Comedians Ka DHAMAKA On Kapil Sharma Show! Zakir Khan | Abhishek Upmanyu | Bassi | Kusha K.,podcast_appearance,1290,9,4084,2025-10-02T05:30:35Z,https://i.ytimg.com/vi/z6gc3_jAk64/hqdefault.jpg,false
hzSvEUOn21U,Zakir Khan,Zakir khan Standup comedy amazon prime complete,full_special,204,1,5616,2025-10-08T07:00:47Z,https://i.ytimg.com/vi/hzSvEUOn21U/hqdefault.jpg,false
UTEcYC28GNY,Aaditya Kulshreshth aka Kullu,Kullu | Fresher's Party | Full Stand up Comedy Special,full_special,2141135,70753,4385,2026-06-05T07:10:06Z,https://i.ytimg.com/vi/UTEcYC28GNY/hqdefault.jpg,false
