comedian_name,video_id,title,view_count,like_count,duration_seconds,published_at,thumbnail_url
"Aaditya Kulshreshth aka Kullu",UTEcYC28GNY,"Kullu | Fresher's Party | Full Stand up Comedy Special",2141135,70753,4385,2026-06-05T07:10:06Z,https://i.ytimg.com/vi/UTEcYC28GNY/hqdefault.jpg
"Aakash Gupta",Az38f7cUzK8,"School | Aakash Gupta | Stand-up Comedy",17192918,525180,1585,2024-12-28T16:04:03Z,https://i.ytimg.com/vi/Az38f7cUzK8/hqdefault.jpg
"Aakash Gupta",l_63zbTj9Hw,"My Corporate Job | Aakash Gupta | Stand-up comedy",13306387,423772,1460,2025-10-25T06:13:53Z,https://i.ytimg.com/vi/l_63zbTj9Hw/hqdefault.jpg
"Aakash Gupta",SVRH-pBw0cc,"Aakash Gupta | Angry Young Man | Full Stand-up Comedy Special",12571477,379977,3698,2025-03-07T15:15:37Z,https://i.ytimg.com/vi/SVRH-pBw0cc/hqdefault.jpg
"Aashish Solanki",KsEoGDgKdwQ,"Pretty Good Roast Show S1. EP 7/7 | Ft.   @kushakapila5643",30678265,710900,3465,2024-06-09T16:40:03Z,https://i.ytimg.com/vi/KsEoGDgKdwQ/hqdefault.jpg
"Aashish Solanki",7xNHz6lwxYs,"Pretty Good Roast Show S1. EP 2/7 |  Ft. @AnubhavSinghBassi",28545202,663844,3671,2024-04-27T09:22:36Z,https://i.ytimg.com/vi/7xNHz6lwxYs/hqdefault.jpg
"Aashish Solanki",U-SuiWkRAlo,"Pretty Good Roast Show: S1. EP 1/7 | Ft.  @AakashGupta",9916211,231315,3318,2024-04-19T13:59:15Z,https://i.ytimg.com/vi/U-SuiWkRAlo/hqdefault.jpg
"Aashish Solanki",gVFHPz0BKhw,"Judge Me If You Can Ep.14 ft Huma Qureshi & @beabassi",3102057,79658,3651,2026-07-04T05:49:32Z,https://i.ytimg.com/vi/gVFHPz0BKhw/hqdefault.jpg
"Abhishek Upmanyu",IcAV5qiko8M,"Abhishek Upmanyu - Jealous of Sabziwala (FULL SPECIAL)",41257562,1066421,3820,2023-10-09T09:10:47Z,https://i.ytimg.com/vi/IcAV5qiko8M/hqdefault.jpg
"Abhishek Upmanyu",E16WhXcIghM,"Team Animals - Stand-Up Comedy by Abhishek Upmanyu",40227036,1792303,1414,2021-04-02T08:11:03Z,https://i.ytimg.com/vi/E16WhXcIghM/hqdefault.jpg
"Abhishek Upmanyu",t8HrZTLRCeU,"Employee No.1 - Standup Comedy by Abhishek Upmanyu | Story",38780669,1125262,2415,2023-12-21T08:48:01Z,https://i.ytimg.com/vi/t8HrZTLRCeU/hqdefault.jpg
"Abhishek Upmanyu",_fWyWcZB7VA,"Health Anxiety - Standup Comedy by Abhishek Upmanyu",26225382,962241,1429,2023-02-24T18:02:04Z,https://i.ytimg.com/vi/_fWyWcZB7VA/hqdefault.jpg
"Akaash Singh",p_HqJyq2SYU,"Gaslit | Akaash Singh | Full Comedy Special",6615208,195859,4709,2024-03-10T16:00:07Z,https://i.ytimg.com/vi/p_HqJyq2SYU/hqdefault.jpg
"Akaash Singh",ePpIH_u6bHE,"Entire Comedy Show of ONLY Crowd Work",4573326,113802,1344,2022-03-30T16:01:36Z,https://i.ytimg.com/vi/ePpIH_u6bHE/hqdefault.jpg
"Akaash Singh",3RWA4IzuVvA,"Standup Comedy on SHROOMS | Akaash Singh (feat. Kase Raso)",1272586,33459,1434,2025-05-25T15:00:07Z,https://i.ytimg.com/vi/3RWA4IzuVvA/hqdefault.jpg
