video_id,comedian_name,title,content_type,view_count,like_count,duration_seconds,published_at,thumbnail_url,is_duplicate
txN_qF7Sk6k,Matt Rife,Unfiltered Matt Rife Comedy | Matt Rife Viral Crowd Work Moments,compilation,3342308,34582,2827,2025-09-04T18:01:00Z,https://i.ytimg.com/vi/txN_qF7Sk6k/hqdefault.jpg,false
2m2520TuUdk,Matt Rife,Matt Rife | Only Fans (Full Comedy Special),full_special,18636214,312179,3820,2023-01-20T23:00:11Z,https://i.ytimg.com/vi/2m2520TuUdk/hqdefault.jpg,false
v69-181zzk8,800 Pound Gorilla Media,Mark Normand | Out To Lunch (Full Comedy Special),full_special,4621998,74019,3169,2024-05-13T00:00:07Z,https://i.ytimg.com/vi/v69-181zzk8/hqdefault.jpg,false
zG10W6HYKTk,800 Pound Gorilla Media,Kelsey Cook | The Hustler (Full Comedy Special),full_special,4424581,78576,3786,2023-03-10T01:00:11Z,https://i.ytimg.com/vi/zG10W6HYKTk/hqdefault.jpg,false
OLGrx-m-0iA,800 Pound Gorilla SFW Comedy,2 Hours of All Killer Comedy | Stand-Up Comedy Compilation,compilation,1018433,6584,8666,2025-10-12T17:00:36Z,https://i.ytimg.com/vi/OLGrx-m-0iA/hqdefault.jpg,false
UTEcYC28GNY,Aaditya Kulshreshth aka Kullu,Kullu | Fresher's Party | Full Stand up Comedy Special,full_special,2141135,70753,4385,2026-06-05T07:10:06Z,https://i.ytimg.com/vi/UTEcYC28GNY/hqdefault.jpg,false
Az38f7cUzK8,Aakash Gupta,School | Aakash Gupta | Stand-up Comedy,full_special,17192918,525180,1585,2024-12-28T16:04:03Z,https://i.ytimg.com/vi/Az38f7cUzK8/hqdefault.jpg,false
SVRH-pBw0cc,Aakash Gupta,Aakash Gupta | Angry Young Man | Full Stand-up Comedy Special,full_special,12571477,379977,3698,2025-03-07T15:15:37Z,https://i.ytimg.com/vi/SVRH-pBw0cc/hqdefault.jpg,false
KsEoGDgKdwQ,Aashish Solanki,Pretty Good Roast Show S1. EP 7/7 | Ft.   @kushakapila5643,full_special,30678265,710900,3465,2024-06-09T16:40:03Z,https://i.ytimg.com/vi/KsEoGDgKdwQ/hqdefault.jpg,false
7xNHz6lwxYs,Aashish Solanki,Pretty Good Roast Show S1. EP 2/7 |  Ft. @AnubhavSinghBassi,full_special,28545202,663844,3671,2024-04-27T09:22:36Z,https://i.ytimg.com/vi/7xNHz6lwxYs/hqdefault.jpg,false
U-SuiWkRAlo,Aashish Solanki,Pretty Good Roast Show: S1. EP 1/7 | Ft.  @AakashGupta,full_special,9916211,231315,3318,2024-04-19T13:59:15Z,https://i.ytimg.com/vi/U-SuiWkRAlo/hqdefault.jpg,false
