comedian_name,video_id,title,view_count,like_count,duration_seconds,published_at,thumbnail_url
"800 Pound Gorilla Comedy Slices",txN_qF7Sk6k,"Unfiltered Matt Rife Comedy | Matt Rife Viral Crowd Work Moments",3342308,34582,2827,2025-09-04T18:01:00Z,https://i.ytimg.com/vi/txN_qF7Sk6k/hqdefault.jpg
"800 Pound Gorilla Media",2m2520TuUdk,"Matt Rife | Only Fans (Full Comedy Special)",18636214,312179,3820,2023-01-20T23:00:11Z,https://i.ytimg.com/vi/2m2520TuUdk/hqdefault.jpg
"800 Pound Gorilla Media",v69-181zzk8,"Mark Normand | Out To Lunch (Full Comedy Special)",4621998,74019,3169,2024-05-13T00:00:07Z,https://i.ytimg.com/vi/v69-181zzk8/hqdefault.jpg
"800 Pound Gorilla Media",zG10W6HYKTk,"Kelsey Cook | The Hustler (Full Comedy Special)",4424581,78576,3786,2023-03-10T01:00:11Z,https://i.ytimg.com/vi/zG10W6HYKTk/hqdefault.jpg
"800 Pound Gorilla Media",pZfLN4Wa7CI,"500 Minutes of Comedy To Binge | Stand-Up Compilation",461063,3682,31495,2025-03-09T17:00:07Z,https://i.ytimg.com/vi/pZfLN4Wa7CI/hqdefault.jpg
"800 Pound Gorilla Media",7z3LrBWctlI,"Best of Gianmarco Soresi 2025 Crowd Work | Stand-Up Comedy Compilation",256765,8269,3171,2025-12-28T19:00:06Z,https://i.ytimg.com/vi/7z3LrBWctlI/hqdefault.jpg
"800 Pound Gorilla SFW Comedy",OLGrx-m-0iA,"2 Hours of All Killer Comedy | Stand-Up Comedy Compilation",1018433,6584,8666,2025-10-12T17:00:36Z,https://i.ytimg.com/vi/OLGrx-m-0iA/hqdefault.jpg
"AAP TAK 24",KOXe0TU3Sjo,"Anubhav Singh Bassi New Stand Up Comedy|| ANUBHAV Singh new video || Sarala Aunty",263219,1954,1287,2021-09-13T02:58:14Z,https://i.ytimg.com/vi/KOXe0TU3Sjo/hqdefault.jpg
"ADMD Haste Raho TV",z6gc3_jAk64,"Stand Up Comedians Ka DHAMAKA On Kapil Sharma Show! Zakir Khan | Abhishek Upmanyu | Bassi | Kusha K.",1290,9,4084,2025-10-02T05:30:35Z,https://i.ytimg.com/vi/z6gc3_jAk64/hqdefault.jpg
"ARG Cinema",hzSvEUOn21U,"Zakir khan Standup comedy amazon prime complete",204,1,5616,2025-10-08T07:00:47Z,https://i.ytimg.com/vi/hzSvEUOn21U/hqdefault.jpg
"Aaditya Kulshreshth aka Kullu",UTEcYC28GNY,"Kullu | Fresher's Party | Full Stand up Comedy Special",2141135,70753,4385,2026-06-05T07:10:06Z,https://i.ytimg.com/vi/UTEcYC28GNY/hqdefault.jpg
"Aakash Gupta",Az38f7cUzK8,"School | Aakash Gupta | Stand-up Comedy",17192918,525180,1585,2024-12-28T16:04:03Z,https://i.ytimg.com/vi/Az38f7cUzK8/hqdefault.jpg
"Aakash Gupta",l_63zbTj9Hw,"My Corporate Job | Aakash Gupta | Stand-up comedy",13306387,423772,1460,2025-10-25T06:13:53Z,https://i.ytimg.com/vi/l_63zbTj9Hw/hqdefault.jpg
