video_id,title,channel_title,thumbnail_url,duration,published_at,view_count,like_count,style_tags,tone_tags,theme_tags
"MwsHgn_jdIY","22 Boyfriends | Crowd Work | Stand Up Comedy | Ft @Harshgujral","Harsh gujral","https://i.ytimg.com/vi/MwsHgn_jdIY/hqdefault.jpg","PT20M27S","2025-04-30T12:04:05Z",11427864,246304,"","",""
"hEMJQakG6x8","Netflix Is A Joke Full Crowd Work Special | Lucas Zelnick Stand Up Comedy Crowd Work","Lucas Zelnick","https://i.ytimg.com/vi/hEMJQakG6x8/hqdefault.jpg","PT31M15S","2026-06-01T16:00:06Z",306678,13840,"","",""
"98H7NpD_IeM","Scam 2040 | Standup comedy by Inder Sahani","Inder Sahani","https://i.ytimg.com/vi/98H7NpD_IeM/hqdefault.jpg","PT35M35S","2026-07-28T12:45:32Z",1064098,29203,"","",""
"cafcBnHqXaQ","2026 Compilation (Over 1 hour!) - Chris D'Elia Crowd Work Standup","Chris D'Elia","https://i.ytimg.com/vi/cafcBnHqXaQ/hqdefault.jpg","PT1H13M1S","2026-07-21T17:38:01Z",88350,1437,"","",""
"AVmcwgeB340","Truth Serum a Crowd work comedy ft. Faiyaaz Hussain ","Pundank","https://i.ytimg.com/vi/AVmcwgeB340/hqdefault.jpg","PT31M16S","2026-08-09T13:00:21Z",37074,1138,"","",""
"MmtiZ1GohoY","Phil Hanley | Live in San Francisco | Full Crowd Work Show","Phil Hanley","https://i.ytimg.com/vi/MmtiZ1GohoY/hqdefault.jpg","PT26M45S","2024-10-02T21:20:01Z",1276182,24755,"","",""
"Oy2QyPQ5L5M","Max Amini FULL COMEDY SPECIAL 2025 | ""Randomly Selected"" | Stand Up Comedy","Max Amini","https://i.ytimg.com/vi/Oy2QyPQ5L5M/hqdefault.jpg","PT50M","2025-02-05T16:30:11Z",18999815,228678,"","",""
"Kzz_wtyvJ8Q","Ladies Special | Pranit More | Stand-up Comedy | Crowd Work Special","Pranit More Official","https://i.ytimg.com/vi/Kzz_wtyvJ8Q/hqdefault.jpg","PT1H3M54S","2026-04-24T13:30:23Z",11872466,289494,"","",""
"gIJPY3AM0nk","A Crowd Work Special with Trevor Wallace","Trevor Wallace","https://i.ytimg.com/vi/gIJPY3AM0nk/hqdefault.jpg","PT54M20S","2026-04-02T00:00:29Z",562064,17302,"","",""
"2x9U6q1eCwk","Ladies Special 3 | Pranit More | Stand-up Comedy | Crowd Work Special","Pranit More Official","https://i.ytimg.com/vi/2x9U6q1eCwk/hqdefault.jpg","PT52M","2026-05-29T13:30:24Z",6655561,145434,"","",""
"cHLM9L_5gj0","Doctor & Engineer | Crowd Work | Stand-Up Comedy By Munawar Faruqui","Munawar Faruqui","https://i.ytimg.com/vi/cHLM9L_5gj0/hqdefault.jpg","PT20M46S","2021-05-01T17:30:15Z",27896600,1085867,"","",""
"c_DPkzeMn1Q","FULL SET - CROWDWORK IN HOUSTON - Chris D'Elia Stand Up Comedy","Chris D'Elia","https://i.ytimg.com/vi/c_DPkzeMn1Q/hqdefault.jpg","PT36M","2025-09-02T13:30:42Z",191847,3629,"","",""
"28A9XKrtnA4","Halki Halki Fati By Vikas Kush Sharma | Part 2 | Crowd Work Standup Comedy Special | Standup Comedy","Vikas Kush Sharma","https://i.ytimg.com/vi/28A9XKrtnA4/hqdefault.jpg","PT28M58S","2026-04-17T13:30:03Z",409829,9477,"","",""
"ePpIH_u6bHE","Entire Comedy Show of ONLY Crowd Work","Akaash Singh","https://i.ytimg.com/vi/ePpIH_u6bHE/hqdefault.jpg","PT22M24S","2022-03-30T16:01:36Z",4573326,113802,"","",""
"-IiLZJ9ebvo","Hello Hello | Best Ever Phone Compilation |Crowd Work | Stand Up Comedy | Ft @VikasKushSharma","Vikas Kush Sharma","https://i.ytimg.com/vi/-IiLZJ9ebvo/hqdefault.jpg","PT22M37S","2026-05-08T15:30:01Z",475545,8357,"","",""
"txN_qF7Sk6k","Unfiltered Matt Rife Comedy | Matt Rife Viral Crowd Work Moments","800 Pound Gorilla Comedy Slices","https://i.ytimg.com/vi/txN_qF7Sk6k/hqdefault.jpg","PT47M7S","2025-09-04T18:01:00Z",3342308,34582,"","",""
"gATlVX3IMlQ","Date pe Chalein | Pranit More | Stand-up Comedy | Crowd Work Special","Pranit More Official","https://i.ytimg.com/vi/gATlVX3IMlQ/hqdefault.jpg","PT1H1M28S","2026-03-20T13:48:00Z",7005750,135387,"","",""
