video_id,title,style_tags,tone_tags,theme_tags,suggested_rating,youtube_age_restricted,review_priority,low_confidence_tags
"UTEcYC28GNY","Kullu | Fresher's Party | Full Stand up Comedy Special","observational-comedy","","","U/A",FALSE,LOW,""
"Az38f7cUzK8","School | Aakash Gupta | Stand-up Comedy","observational-comedy","nostalgic-and-warm","corporate-and-work-life;travel-and-experiences;family-and-upbringing","U/A",FALSE,LOW,""
"l_63zbTj9Hw","My Corporate Job | Aakash Gupta | Stand-up comedy","observational-comedy","","corporate-and-work-life;travel-and-experiences","U/A",FALSE,LOW,""
"SVRH-pBw0cc","Aakash Gupta | Angry Young Man | Full Stand-up Comedy Special","observational-comedy","nostalgic-and-warm","corporate-and-work-life;travel-and-experiences","U/A",FALSE,LOW,""
"KsEoGDgKdwQ","Pretty Good Roast Show S1. EP 7/7 | Ft.   @kushakapila5643","crowd-work-heavy","sarcastic-and-biting","","U/A",FALSE,LOW,""
"7xNHz6lwxYs","Pretty Good Roast Show S1. EP 2/7 |  Ft. @AnubhavSinghBassi","crowd-work-heavy","sarcastic-and-biting","family-and-upbringing;corporate-and-work-life","U/A",FALSE,HIGH,"family-and-upbringing;corporate-and-work-life"
"U-SuiWkRAlo","Pretty Good Roast Show: S1. EP 1/7 | Ft.  @AakashGupta","crowd-work-heavy","sarcastic-and-biting","romantic-relationships","U/A",FALSE,HIGH,"romantic-relationships"
"gVFHPz0BKhw","Judge Me If You Can Ep.14 ft Huma Qureshi & @beabassi","","","","U/A",FALSE,LOW,""
"IcAV5qiko8M","Abhishek Upmanyu - Jealous of Sabziwala (FULL SPECIAL)","observational-comedy","","mental-health-and-struggles","U/A",FALSE,HIGH,"mental-health-and-struggles"
"E16WhXcIghM","Team Animals - Stand-Up Comedy by Abhishek Upmanyu","observational-comedy","","","U/A",FALSE,LOW,""
"t8HrZTLRCeU","Employee No.1 - Standup Comedy by Abhishek Upmanyu | Story","crowd-work-heavy;anecdotal-storytelling","","corporate-and-work-life","U/A",FALSE,HIGH,"crowd-work-heavy"
"_fWyWcZB7VA","Health Anxiety - Standup Comedy by Abhishek Upmanyu","","","corporate-and-work-life;mental-health-and-struggles","U/A",FALSE,LOW,""
"p_HqJyq2SYU","Gaslit | Akaash Singh | Full Comedy Special","crowd-work-heavy;observational-comedy","","family-and-upbringing;romantic-relationships;travel-and-experiences","U/A",FALSE,LOW,""
"ePpIH_u6bHE","Entire Comedy Show of ONLY Crowd Work","crowd-work-heavy","","travel-and-experiences","U/A",FALSE,LOW,""
"3RWA4IzuVvA","Standup Comedy on SHROOMS | Akaash Singh (feat. Kase Raso)","","","","U/A",FALSE,LOW,""
"Tkebl7-vO2c","Sibling Stories with Zakir & Bassi | Chaar Yaar Ep. 5| ft. @ZakirKhan @AnubhavSinghBassi","anecdotal-storytelling","","family-and-upbringing;romantic-relationships","U/A",FALSE,LOW,""
"lLRr_4DK9jk","School Ke Din | Chaar Yaar with Amit Tandon Ep.15 ft Zakir Khan and Anubhav Singh Bassi","","nostalgic-and-warm","travel-and-experiences;family-and-upbringing","U/A",FALSE,LOW,""
"DQePNw_WZQ4","Hamare Zamane Mein - A Stand Up Comedy Special by Amit Tandon","observational-comedy","","corporate-and-work-life","U/A",FALSE,LOW,""
"qkxuFKqJXWY","Roommate - Stand Up Comedy Ft. Anubhav Singh Bassi","observational-comedy","","","U/A",FALSE,LOW,""
"IEfBBYmxtIo","UPSC - Stand Up Comedy Ft. Anubhav Singh Bassi","anecdotal-storytelling;observational-comedy","","","U/A",FALSE,HIGH,"anecdotal-storytelling"
"mbOO0Z6ryO0","Ambulance - Stand Up Comedy Ft. Anubhav Singh Bassi","observational-comedy","","mental-health-and-struggles","U/A",FALSE,LOW,""
"GIDAWNQzblw","Unlocking Success: @ZakirKhan 's Journey from OpenMic to Stardom","","","","U/A",FALSE,LOW,""
"zZCSz2B1JMU","IIT Tough Hai | Indian Stand Up Comedy by Chirag Panjwani","observational-comedy","","","U/A",FALSE,LOW,""
"P6LkCNRLwCI","Dr. Panjwani | Stand Up Comedy Special by Chirag Panjwani","observational-comedy","","family-and-upbringing;romantic-relationships;cultural-commentary","U/A",FALSE,HIGH,"cultural-commentary"
"HAqVEM6DzvU","Meri Pehli Shaadi | Stand Up Comedy Special by Chirag Panjwani","observational-comedy","","family-and-upbringing;romantic-relationships","U/A",FALSE,LOW,""
"TSi5zOfEaQE","Chris D'Elia: Grow Or Die (STANDUP COMEDY SPECIAL)","observational-comedy","","travel-and-experiences","U/A",FALSE,LOW,""
"c_DPkzeMn1Q","FULL SET - CROWDWORK IN HOUSTON - Chris D'Elia Stand Up Comedy","crowd-work-heavy;observational-comedy","","travel-and-experiences","U/A",FALSE,LOW,""
